import time: self [us] | cumulative | imported package
import time:       156 |        156 |                         google.protobuf.internal._api_implementation
import time:      1200 |       1200 |                         google.protobuf.message
import time:      1003 |       1003 |                         google.protobuf.internal.enum_type_wrapper
import time:       112 |        112 |                         google.protobuf.enable_deterministic_proto_serialization
import time:      3449 |       5918 |                       google.protobuf.internal.api_implementation
import time:      2306 |       9527 |                     google.protobuf.descriptor
import time:      1041 |       1041 |                       google.protobuf.descriptor_database
import time:      1064 |       1064 |                       google.protobuf.text_encoding
import time:       946 |        946 |                       google.protobuf.internal.python_edition_defaults
import time:       971 |        971 |                           encodings.raw_unicode_escape
import time:       941 |        941 |                           encodings.unicode_escape
import time:      2992 |       2992 |                             numbers
import time:      2034 |       2034 |                               copy
import time:      1557 |       1557 |                                 _compat_pickle
import time:       132 |        132 |                                 _pickle
import time:      3105 |       4793 |                               pickle
import time:      2501 |       9327 |                             google.protobuf.internal.containers
import time:      1104 |       1104 |                               google.protobuf.internal.wire_format
import time:      1332 |       2436 |                             google.protobuf.internal.encoder
import time:      1088 |      15842 |                           google.protobuf.internal.decoder
import time:      1330 |       1330 |                           google.protobuf.internal.type_checkers
import time:      1094 |       1094 |                           google.protobuf.unknown_fields
import time:      2183 |      22357 |                         google.protobuf.text_format
import time:      1020 |       1020 |                         google.protobuf.internal.extension_dict
import time:       949 |        949 |                         google.protobuf.internal.message_listener
import time:       945 |        945 |                           google.protobuf.internal.field_mask
import time:      1202 |       2146 |                         google.protobuf.internal.well_known_types
import time:      1407 |      27879 |                       google.protobuf.internal.python_message
import time:      1349 |      32276 |                     google.protobuf.descriptor_pool
import time:      1162 |       1162 |                         google.protobuf.pyext
import time:      1118 |       1118 |                         google.protobuf.pyext.cpp_message
import time:      1794 |       4073 |                       google.protobuf.message_factory
import time:      1090 |       5163 |                     google.protobuf.symbol_database
import time:       839 |        839 |                       google.protobuf.reflection
import time:       910 |       1748 |                     google.protobuf.internal.builder
import time:       987 |        987 |                       google.protobuf.runtime_version
import time:      1007 |       1994 |                     google.protobuf.timestamp_pb2
import time:      2378 |      58837 |                   dbtlabs.proto.public.v1.fields.common_types_pb2
import time:       916 |      59753 |                 dbt_common.events.types_pb2
import time:        77 |         77 |                         _json
import time:      1148 |       1224 |                       json.scanner
import time:      1314 |       2538 |                     json.decoder
import time:      1172 |       1172 |                     json.encoder
import time:      1172 |       4881 |                   json
import time:      1635 |       6515 |                 google.protobuf.json_format
import time:       983 |        983 |                 dbt_common.events.helpers
import time:      1024 |       1024 |                     _uuid
import time:      1282 |       2305 |                   uuid
import time:      1105 |       3410 |                 dbt_common.invocation
import time:      1584 |      72243 |               dbt_common.events.base_types
import time:      1539 |       1539 |                   traceback
import time:        68 |         68 |                       atexit
import time:      2840 |       2907 |                     logging
import time:      1479 |       1479 |                     dataclasses
import time:        86 |         86 |                           _heapq
import time:      1517 |       1603 |                         heapq
import time:      1396 |       1396 |                         _queue
import time:      1181 |       4180 |                       queue
import time:      1725 |       5904 |                     logging.handlers
