import time: self [us] | cumulative | imported package
import time:      1486 |       1486 |                                                               asyncio.mixins
import time:      1745 |       3230 |                                                             asyncio.locks
import time:      1697 |       1697 |                                                               asyncio.timeouts
import time:      1735 |       3431 |                                                             asyncio.tasks
import time:      1533 |       8193 |                                                           asyncio.staggered
import time:      1180 |       1180 |                                                           asyncio.trsock
import time:      2185 |      40198 |                                                         asyncio.base_events
import time:      2109 |       2109 |                                                         asyncio.runners
import time:      2312 |       2312 |                                                         asyncio.queues
import time:      2141 |       2141 |                                                         asyncio.streams
import time:      1832 |       1832 |                                                         asyncio.subprocess
import time:      1685 |       1685 |                                                         asyncio.taskgroups
import time:      1364 |       1364 |                                                         asyncio.threads
import time:      2111 |       2111 |                                                           _overlapped
import time:      1249 |       1249 |                                                           asyncio.base_subprocess
import time:      1338 |       1338 |                                                           asyncio.proactor_events
import time:      1434 |       1434 |                                                           asyncio.selector_events
import time:      1191 |       1191 |                                                           asyncio.windows_utils
import time:      1873 |       9194 |                                                         asyncio.windows_events
import time:      2142 |      62974 |                                                       asyncio
import time:        43 |      63017 |                                                     asyncio.coroutines
import time:     14125 |      77141 |                                                   pydantic_core.core_schema
import time:      4329 |      83608 |                                                 pydantic_core
import time:       927 |      84535 |                                               pydantic.version
import time:      1110 |      85644 |                                             pydantic.warnings
import time:      1703 |      87346 |                                           pydantic._migration
import time:      2095 |       2095 |                                               typing_inspection
import time:      5218 |       5218 |                                               typing_inspection.typing_objects
import time:      2769 |      10081 |                                             typing_inspection.introspection
import time:      1642 |       1642 |                                             pydantic._internal
import time:      2177 |       2177 |                                                 pydantic._internal._namespace_utils
import time:      2034 |       4210 |                                               pydantic._internal._typing_extra
import time:      1834 |       6043 |                                             pydantic._internal._repr
import time:     13598 |      31363 |                                           pydantic.errors
import time:      1449 |     120158 |                                         pydantic
import time:      1654 |       1654 |                                               pydantic.v1.typing
import time:      3147 |       4800 |                                             pydantic.v1.errors
import time:      1537 |       1537 |                                                 cython
import time:      2202 |       3738 |                                               pydantic.v1.version
import time:      3007 |       6744 |                                             pydantic.v1.utils
import time:      1591 |      13134 |                                           pydantic.v1.class_validators
import time:      2617 |       2617 |                                           pydantic.v1.config
import time:      2131 |       2131 |                                                 colorsys
import time:      3218 |       5348 |                                               pydantic.v1.color
import time:      3244 |       3244 |                                                   pydantic.v1.datetime_parse
import time:      2128 |       5371 |                                                 pydantic.v1.validators
import time:      3046 |       8416 |                                               pydantic.v1.networks
import time:      3196 |       3196 |                                               pydantic.v1.types
import time:      2033 |      18992 |                                             pydantic.v1.json
import time:      2008 |      21000 |                                           pydantic.v1.error_wrappers
import time:      1643 |       1643 |                                           pydantic.v1.fields
import time:      1015 |       1015 |                                             pydantic.v1.parse
import time:      1640 |       1640 |                                             pydantic.v1.schema
import time:      4095 |       6750 |                                           pydantic.v1.main
import time:      2524 |      47666 |                                         pydantic.v1.dataclasses
import time:      1620 |       1620 |                                         pydantic.v1.annotated_types
import time:      2655 |       2655 |                                         pydantic.v1.decorator
import time:      4173 |       4173 |                                         pydantic.v1.env_settings
import time:      2730 |       2730 |                                         pydantic.v1.tools
import time:      2236 |     181235 |                                       pydantic.v1
import time:      3711 |     184946 |                                     dsi_pydantic_shim
import time:      2682 |     221438 |                                   dbt_semantic_interfaces.implementations.base
import time:       875 |     222313 |                                 dbt_semantic_interfaces.pretty_print
import time:      2814 |     225126 |                               dbt_semantic_interfaces.dataclass_serialization
import time:     13036 |     238162 |                             dbt_semantic_interfaces.references
import time:      3506 |     241667 |                           dbt_semantic_interfaces.call_parameter_sets
import time:       390 |        390 |                             dbt_semantic_interfaces.parsing.where_filter
import time:      1372 |       1372 |                               dbt_semantic_interfaces.parsing.text_input
import time:      2295 |       2295 |                                 dbt_semantic_interfaces.naming
import time:      2097 |       2097 |                                 dbt_semantic_interfaces.naming.keywords
import time:      4627 |       9018 |                               dbt_semantic_interfaces.naming.dundered
import time:      5207 |      15596 |                             dbt_semantic_interfaces.parsing.text_input.ti_description
import time:      1784 |       1784 |                                 dbt_semantic_interfaces.parsing.text_input.ti_exceptions
import time:      1815 |       1815 |                                 dbt_semantic_interfaces.parsing.text_input.valid_method
import time:      2107 |       5705 |                               dbt_semantic_interfaces.parsing.text_input.rendering_helper
import time:      2632 |       8336 |                             dbt_semantic_interfaces.parsing.text_input.ti_processor
import time:      1569 |       1569 |                             dbt_semantic_interfaces.parsing.where_filter.parameter_set_factory
import time:      1961 |      27849 |                           dbt_semantic_interfaces.parsing.where_filter.jinja_object_parser
import time:      9035 |     278550 |                         dbt.artifacts.resources.v1.semantic_layer_components
import time:     15157 |     293707 |                       dbt.artifacts.resources.v1.metric
import time:     11819 |      11819 |                       dbt.artifacts.resources.v1.model
import time:      1128 |       1128 |                         dbt_semantic_interfaces.type_enums.export_destination_type
import time:     10798 |      11926 |                       dbt.artifacts.resources.v1.saved_query
import time:     10883 |      10883 |                       dbt.artifacts.resources.v1.seed
import time:     22788 |      22788 |                       dbt.artifacts.resources.v1.semantic_model
import time:      6402 |       6402 |                       dbt.artifacts.resources.v1.singular_test
import time:      8746 |       8746 |                       dbt.artifacts.resources.v1.snapshot
import time:     13238 |      13238 |                       dbt.artifacts.resources.v1.source_definition
import time:      4700 |       4700 |                       dbt.artifacts.resources.v1.sql_operation
import time:     10151 |      10151 |                       dbt.artifacts.resources.v1.unit_test_definition
import time:      1891 |     547702 |                     dbt.artifacts.resources
import time:        37 |     547739 |                   dbt.artifacts.resources.types
import time:      1190 |     548928 |                 dbt.node_types
import time:      2480 |     551408 |               dbt.exceptions
import time:      1161 |       1161 |                 dbt.adapters.duckdb.constants
import time:      2548 |       2548 |                   dbt.adapters.duckdb.secrets
import time:      9072 |      11620 |                 dbt.adapters.duckdb.credentials
import time:      2330 |       2330 |                   dbt.adapters.duckdb.utils
import time:      2791 |       5120 |                 dbt.adapters.duckdb.plugins
import time:      2058 |      19958 |               dbt.adapters.duckdb.environments
import time:      1465 |       1465 |                 dbt.adapters.sql.connections
import time:      1354 |       1354 |                 dbt.adapters.sql.impl
import time:      1246 |       4064 |               dbt.adapters.sql
import time:      1238 |     576666 |             dbt.adapters.duckdb.connections
import time:      1447 |       1447 |                 packaging
import time:      3506 |       4953 |               packaging.version
import time:      1742 |       1742 |               dbt.adapters.duckdb.column
import time:      3714 |       3714 |               dbt.adapters.duckdb.relation
import time:      5256 |      15663 |             dbt.adapters.duckdb.impl
import time:      1952 |       1952 |             dbt.include
import time:      1697 |       1697 |             dbt.include.duckdb
import time:      1152 |     597129 |           dbt.adapters.duckdb
import time:        36 |     597165 |         dbt.adapters.duckdb.credentials
import time:      3983 |     601147 |       dbt.adapters.duckrun.credentials
import time:      3404 |       3404 |               deltalake._internal
import time:       751 |        751 |                   arro3
import time:      2360 |       2360 |                   arro3.core._core
import time:      1271 |       4382 |                 arro3.core
import time:       127 |        127 |                     array
import time:        61 |         61 |                     mmap
import time:      1347 |       1535 |                   arro3.core.types
import time:      1056 |       1056 |                   deltalake._util
import time:       994 |        994 |                   deltalake.exceptions
import time:      1151 |       1151 |                   deltalake.schema
import time:      1142 |       1142 |                         deltalake.writer._utils
import time:      1250 |       2392 |                       deltalake.writer.convert_to
import time:      2142 |       2142 |                       deltalake.writer.properties
import time:      1186 |       1186 |                         deltalake.writer._conversion
import time:      1500 |       2685 |                       deltalake.writer.writer
import time:      1140 |       8357 |                     deltalake.writer
import time:        38 |       8394 |                   deltalake.writer._conversion
import time:      2590 |      15719 |                 deltalake.table
import time:      1177 |      21277 |               deltalake.query
import time:      2778 |       2778 |               deltalake.transaction
import time:      1550 |      29007 |             deltalake
import time:      1196 |      30203 |           dbt.adapters.duckrun.engine
import time:      4134 |      34336 |         dbt.adapters.duckrun.delta_dml
import time:      1408 |       1408 |           dbt.adapters.duckrun.secret
import time:      1711 |       3119 |         dbt.adapters.duckrun.remote
import time:      2370 |       2370 |           dbt.adapters.duckdb.environments.local
import time:      1308 |       3678 |         dbt.adapters.duckrun.environment
import time:      1732 |      42863 |       dbt.adapters.duckrun.impl
import time:      1313 |       1313 |       dbt.adapters.duckrun.__version__
import time:      2062 |       2062 |       dbt.include.duckrun
import time:      2807 |    1498856 |     dbt.adapters.duckrun
import time:      1172 |       1172 |     duckrun.auth
import time:      1471 |       1471 |     duckrun._runtime
import time:     36051 |    1706060 |   duckrun.session
import time:      1449 |       1449 |   duckrun.delta_table
import time:      1713 |    1709220 | duckrun
